id_producto,nombre_producto,categoria,precio_unitario
1,Arroz Aurelion,alimentos,2347
2,Lavandina Aurelion,limpieza,4973
3,Arroz Max,alimentos,4964
4,Lavandina Max,limpieza,2033
5,Arroz Ultra,alimentos,4777
6,Lavandina Ultra,limpieza,4170
7,Arroz Eco,alimentos,3269
8,Lavandina Eco,limpieza,4218
9,Arroz Bio,alimentos,3878
10,Lavandina Bio,limpieza,4883
11,Arroz Plus,alimentos,2053
12,Lavandina Plus,limpieza,570
13,Arroz Premium,alimentos,2383
14,Lavandina Premium,limpieza,1723
15,Arroz Clásico,alimentos,2538
16,Lavandina Clásico,limpieza,4613
17,Fideos Aurelion,alimentos,4834
18,Detergente Limón Aurelion,limpieza,3444
19,Fideos Max,alimentos,3251
20,Detergente Limón Max,limpieza,1571
21,Fideos Ultra,alimentos,272
22,Detergente Limón Ultra,limpieza,2069
23,Fideos Eco,alimentos,2380
24,Detergente Limón Eco,limpieza,1305
25,Fideos Bio,alimentos,4015
26,Detergente Limón Bio,limpieza,1001
27,Fideos Plus,alimentos,2502
28,Detergente Limón Plus,limpieza,936
29,Fideos Premium,alimentos,1868
30,Detergente Limón Premium,limpieza,4875
31,Fideos Clásico,alimentos,3409
32,Detergente Limón Clásico,limpieza,2234
33,Aceite Girasol Aurelion,alimentos,1255
34,Jabón en Polvo Aurelion,limpieza,503
35,Aceite Girasol Max,alimentos,4430
36,Jabón en Polvo Max,limpieza,2559
37,Aceite Girasol Ultra,alimentos,3196
38,Jabón en Polvo Ultra,limpieza,1584
39,Aceite Girasol Eco,alimentos,469
40,Jabón en Polvo Eco,limpieza,1215
41,Aceite Girasol Bio,alimentos,860
42,Jabón en Polvo Bio,limpieza,1195
43,Aceite Girasol Plus,alimentos,887
44,Jabón en Polvo Plus,limpieza,2979
45,Aceite Girasol Premium,alimentos,745
46,Jabón en Polvo Premium,limpieza,3036
47,Aceite Girasol Clásico,alimentos,2939
48,Jabón en Polvo Clásico,limpieza,4462
49,Leche Larga Vida Aurelion,alimentos,2512
50,Jabón Líquido Ropa Aurelion,limpieza,727
51,Leche Larga Vida Max,alimentos,1745
52,Jabón Líquido Ropa Max,limpieza,2582
53,Leche Larga Vida Ultra,alimentos,1664
54,Jabón Líquido Ropa Ultra,limpieza,1592
55,Leche Larga Vida Eco,alimentos,1407
56,Jabón Líquido Ropa Eco,limpieza,2532
57,Leche Larga Vida Bio,alimentos,4520
58,Jabón Líquido Ropa Bio,limpieza,4752
59,Leche Larga Vida Plus,alimentos,3612
60,Jabón Líquido Ropa Plus,limpieza,4647
61,Leche Larga Vida Premium,alimentos,4982
62,Jabón Líquido Ropa Premium,limpieza,3848
63,Leche Larga Vida Clásico,alimentos,4337
64,Jabón Líquido Ropa Clásico,limpieza,3953
65,Galletitas de Agua Aurelion,alimentos,2423
66,Suavizante Aurelion,limpieza,1533
67,Galletitas de Agua Max,alimentos,4719
68,Suavizante Max,limpieza,2684
69,Galletitas de Agua Ultra,alimentos,744
70,Suavizante Ultra,limpieza,4061
71,Galletitas de Agua Eco,alimentos,508
72,Suavizante Eco,limpieza,3876
73,Galletitas de Agua Bio,alimentos,1561
74,Suavizante Bio,limpieza,2953
75,Galletitas de Agua Plus,alimentos,3204
76,Suavizante Plus,limpieza,4286
77,Galletitas de Agua Premium,alimentos,4778
78,Suavizante Premium,limpieza,4289
79,Galletitas de Agua Clásico,alimentos,2420
80,Suavizante Clásico,limpieza,1981
81,Yerba Mate Aurelion,alimentos,2520
82,Limpiador de Pisos Aurelion,limpieza,2394
83,Yerba Mate Max,alimentos,1830
84,Limpiador de Pisos Max,limpieza,1645
85,Yerba Mate Ultra,alimentos,1856
86,Limpiador de Pisos Ultra,limpieza,4090
87,Yerba Mate Eco,alimentos,1679
88,Limpiador de Pisos Eco,limpieza,2570
89,Yerba Mate Bio,alimentos,1003
90,Limpiador de Pisos Bio,limpieza,2902
91,Yerba Mate Plus,alimentos,4690
92,Limpiador de Pisos Plus,limpieza,2512
93,Yerba Mate Premium,alimentos,2142
94,Limpiador de Pisos Premium,limpieza,1418
95,Yerba Mate Clásico,alimentos,1581
96,Limpiador de Pisos Clásico,limpieza,4920
97,Azúcar Aurelion,alimentos,872
98,Desengrasante Cocina Aurelion,limpieza,2843
99,Azúcar Max,alimentos,2430
100,Desengrasante Cocina Max,limpieza,4854
101,Azúcar Ultra,alimentos,4237
102,Desengrasante Cocina Ultra,limpieza,4274
103,Azúcar Eco,alimentos,4311
104,Desengrasante Cocina Eco,limpieza,4348
105,Azúcar Bio,alimentos,4385
106,Desengrasante Cocina Bio,limpieza,4422
107,Azúcar Plus,alimentos,4459
108,Desengrasante Cocina Plus,limpieza,4496
109,Azúcar Premium,alimentos,4533
110,Desengrasante Cocina Premium,limpieza,4570
111,Azúcar Clásico,alimentos,4607
112,Desengrasante Cocina Clásico,limpieza,4644
113,Harina 000 Aurelion,alimentos,4681
114,Limpiavidrios Aurelion,limpieza,4718
115,Harina 000 Max,alimentos,4755
116,Limpiavidrios Max,limpieza,4792
117,Harina 000 Ultra,alimentos,4829
118,Limpiavidrios Ultra,limpieza,4866
119,Harina 000 Eco,alimentos,4903
120,Limpiavidrios Eco,limpieza,4940
121,Harina 000 Bio,alimentos,4977
122,Limpiavidrios Bio,limpieza,514
123,Harina 000 Plus,alimentos,551
124,Limpiavidrios Plus,limpieza,588
125,Harina 000 Premium,alimentos,625
126,Limpiavidrios Premium,limpieza,662
127,Harina 000 Clásico,alimentos,699
128,Limpiavidrios Clásico,limpieza,736
129,Polenta Aurelion,alimentos,773
130,Lustramuebles Aurelion,limpieza,810
131,Polenta Max,alimentos,847
132,Lustramuebles Max,limpieza,884
133,Polenta Ultra,alimentos,921
134,Lustramuebles Ultra,limpieza,958
135,Polenta Eco,alimentos,995
136,Lustramuebles Eco,limpieza,1032
137,Polenta Bio,alimentos,1069
138,Lustramuebles Bio,limpieza,1106
139,Polenta Plus,alimentos,1143
140,Lustramuebles Plus,limpieza,1180
141,Polenta Premium,alimentos,1217
142,Lustramuebles Premium,limpieza,1254
143,Polenta Clásico,alimentos,1291
144,Lustramuebles Clásico,limpieza,1328
145,Lentejas Aurelion,alimentos,1365
146,Quitamanchas Aurelion,limpieza,1402
147,Lentejas Max,alimentos,1439
148,Quitamanchas Max,limpieza,1476
149,Lentejas Ultra,alimentos,1513
150,Quitamanchas Ultra,limpieza,1550
151,Lentejas Eco,alimentos,1587
152,Quitamanchas Eco,limpieza,1624
153,Lentejas Bio,alimentos,1661
154,Quitamanchas Bio,limpieza,1698
155,Lentejas Plus,alimentos,1735
156,Quitamanchas Plus,limpieza,1772
157,Lentejas Premium,alimentos,1809
158,Quitamanchas Premium,limpieza,1846
159,Lentejas Clásico,alimentos,1883
160,Quitamanchas Clásico,limpieza,1920
161,Atún al Natural Aurelion,alimentos,1957
162,Insecticida Aurelion,limpieza,1994
163,Atún al Natural Max,alimentos,2031
164,Insecticida Max,limpieza,2068
165,Atún al Natural Ultra,alimentos,2105
166,Insecticida Ultra,limpieza,2142
167,Atún al Natural Eco,alimentos,2179
168,Insecticida Eco,limpieza,2216
169,Atún al Natural Bio,alimentos,2253
170,Insecticida Bio,limpieza,2290
171,Atún al Natural Plus,alimentos,2327
